tweet_id,tweet_text,disaster_type,Event type,Sub-event type
227175857,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Hurricane,damage,intensity
227175859,Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,Hurricane,damage,emotion
227175860,Omg NYC is now impacted by hurricane #Sandy,Hurricane,information dissemination,update
227175862,First time since 1888 stock market closing for bad weather #Sandy,Hurricane,information dissemination,update
227175867,Hurricane Sandy or else Frankestorm heading toward NYC http://t.co/OPLYDC2D,Hurricane,information dissemination,extension
227175868,NYC closing bridges and tunnels at 7pm #Sandy,Hurricane,damage,rescue support
227175874,Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Hurricane,information dissemination,relief assistance
227175875,.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Hurricane,damage,update
227175880,looks like sandy has hit stourport!,Hurricane,damage,destruction
227175881,"Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy",Hurricane,damage,update
227175882,If your lights go out in Toronto it will take a couple hours to a couple of days to restore. #Sandy,Hurricane,information dissemination,update
227175883,#Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),Hurricane,communication,relief assistance
227175887,Remain in your homes while the storm is in progress. Stay away from windows: http://t.co/KQp2f2vX #Sandy #NYC,Hurricane,safety,advice
227175888,Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,Hurricane,spiritual,well wishes
227175889,@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x empty streets in the concrete jungle!,Hurricane,information dissemination,emotion
227175891,Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Hurricane,damage,update
227175893,We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... http://t.co/v8SGOHpT,Hurricane,damage,intensity
227175894,New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,Hurricane,information dissemination,closure
227175895,wind and rain are starting up... SANDY'S COMIN,Hurricane,information dissemination,update
227175896,The wind's really picking up out there ... #sandy #nyc http://t.co/OJaeiNB9,Hurricane,information dissemination,intensity
227175897,Now we gotta a damn high wind thanks to that bitch Sandy,Hurricane,information dissemination,well wishes
227175898,How to Find the Hurricane Sandy Shelter Closest to You http://t.co/QabOr5a1,Hurricane,safety,emergency response
227175899,Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Hurricane,information dissemination,update
227175900,Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Hurricane,information dissemination,rescue support
227175901,And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,Hurricane,information dissemination,update
227175902,The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,Hurricane,information dissemination,well wishes
227175903,President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. http://t.co/tf7VoWGI,Hurricane,safety,information sharing
227175904,NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... http://t.co/OqAnDoHf,Hurricane,information dissemination,rescue support
227175905,Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/aPChWvbb,Hurricane,safety,update
227175906,NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage. http://t.co/lxWv1Fhz - NBC4,Hurricane,damage,intensity
227175907,Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Hurricane,information dissemination,intensity
227175908,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Hurricane,safety,helpline
227175909,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Hurricane,information dissemination,extension
227175910,NYC Mayor Michael Bloomberg to hold press conference on #Sandy momentarily. Watch Live: http://t.co/8fIXrOiY,Hurricane,news,update
227175911,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Hurricane,information dissemination,extension
227175912,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Hurricane,information dissemination,extension
227175913,NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Hurricane,damage,relief assistance
227175914,'SET YOUR WATCHES FOR 8 P.M:' That's when #Sandy will unleash furious waves on New York City http://t.co/soE3zq3s,Hurricane,information dissemination,update
227175915,WireUpdate U.S. stock markets to reopen Wednesday after Sandy kills 43: NEW YORK CITY (BNO NEWS) -- Major stock ... http://t.co/1QJ8VCRv,Hurricane,information dissemination,update
227175916,Hurricane Sandy expected to make landfall along or just south of southern NJ coast by early evening - @NHC_Atlantic http://t.co/S4Otj1kk,Hurricane,information dissemination,intensity
227175917,In advance of the arrival of Hurricane Sandy please prepared to keep an eye out for storm drains whose tops are... http://t.co/8ro4trG5,Hurricane,disaster preparedness,update
227175918,Mayor Bloomberg live NYC #sandy update here now: http://t.co/84uM94Kh,Hurricane,information dissemination,update
227175920,AWWWW RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Hurricane,safety,relief assistance
227175921,LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,Hurricane,information dissemination,update
227175922,MONSTER STORM SANDY SET TO SLAM NYC AND TRI-STATE REGION: AS HURRICANE SANDY PICKS UP SPEED forecasters say it will slam into New Je...,Hurricane,information dissemination,intensity
